Id,MS Zoning,Street,Lot Shape,Land Contour,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin Type 2,Heating,Heating QC,Central Air,Electrical,Kitchen Qual,Functional,Fireplace Qu,Garage Type,Garage Finish,Garage Qual,Garage Cond,Paved Drive,Sale Type,Lot Frontage,Lot Area,Overall Qual,Year Built,Year Remod/Add,Mas Vnr Area,Total Bsmt SF,Gr Liv Area,Bsmt Full Bath,Full Bath,Half Bath,TotRms AbvGrd,Fireplaces,Garage Yr Blt,Garage Cars,Garage Area,Wood Deck SF,Open Porch SF,SalePrice
109,RL,Pave,IR1,Lvl,Sawyer,RRAe,Norm,1Fam,2Story,Gable,CompShg,HdBoard,Plywood,BrkFace,Gd,TA,CBlock,TA,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,None,Attchd,RFn,TA,TA,Y,WD ,83.9,13517,6,1976,2005,289.0,725.0,1479,0.0,2,1,6,0,1976.0,2.0,475.0,0,44,130500
544,RL,Pave,IR1,Lvl,SawyerW,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,TA,Attchd,RFn,TA,TA,Y,WD ,43.0,11492,7,1996,1997,132.0,913.0,2122,1.0,2,1,8,1,1997.0,2.0,559.0,0,74,220000
153,RL,Pave,Reg,Lvl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,TA,Gd,CBlock,TA,TA,No,GLQ,Unf,GasA,TA,Y,SBrkr,Gd,Typ,None,Detchd,Unf,TA,TA,Y,WD ,68.0,7922,5,1953,2007,0.0,1057.0,1057,1.0,1,0,5,0,1953.0,1.0,246.0,0,52,109000
318,RL,Pave,Reg,Lvl,Timber,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Gd,Y,SBrkr,TA,Typ,None,BuiltIn,Fin,TA,TA,Y,WD ,73.0,9802,5,2006,2007,0.0,384.0,1444,0.0,2,1,7,0,2007.0,2.0,400.0,100,0,174000
255,RL,Pave,IR1,Lvl,SawyerW,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,Wd Sdng,Plywood,None,TA,TA,PConc,Fa,Gd,No,Unf,Unf,GasA,TA,Y,SBrkr,TA,Typ,None,Detchd,Unf,TA,TA,N,WD ,82.0,14235,6,1900,1993,0.0,676.0,1445,0.0,2,0,6,0,1957.0,2.0,484.0,0,59,138500
138,RL,Pave,IR1,Lvl,NAmes,PosA,Norm,1Fam,1Story,Gable,CompShg,BrkFace,Plywood,None,Gd,TA,CBlock,TA,TA,No,ALQ,Rec,GasA,Ex,Y,SBrkr,Gd,Mod,Gd,Attchd,Fin,TA,TA,Y,WD ,137.0,16492,6,1966,2002,0.0,1517.0,1888,0.0,2,1,6,1,1966.0,2.0,578.0,0,0,190000
2827,RM,Pave,Reg,Lvl,Edwards,Norm,Norm,TwnhsE,SFoyer,Gable,CompShg,VinylSd,VinylSd,BrkFace,TA,TA,PConc,Gd,TA,Gd,GLQ,Unf,GasA,Gd,Y,SBrkr,TA,Typ,None,Basment,Fin,TA,TA,Y,New,35.0,3675,6,2005,2006,82.0,547.0,1072,1.0,2,0,5,0,2005.0,2.0,525.0,0,44,140000
145,RL,Pave,IR1,Lvl,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,Plywood,Plywood,BrkFace,TA,TA,CBlock,TA,TA,No,Rec,Unf,GasA,Fa,Y,SBrkr,TA,Typ,None,Attchd,RFn,TA,TA,Y,COD,79.8,12160,5,1959,1959,180.0,1188.0,1188,1.0,1,0,6,0,1959.0,2.0,531.0,0,0,142000
1942,RL,Pave,Reg,Lvl,OldTown,Artery,Norm,1Fam,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,CBlock,TA,TA,No,Rec,Unf,GasA,TA,Y,SBrkr,TA,Typ,None,Detchd,Unf,TA,TA,Y,WD ,90.7,15783,5,1952,1952,0.0,924.0,924,0.0,1,0,6,0,1952.0,1.0,420.0,0,324,112500
1956,RL,Pave,IR1,HLS,NAmes,Norm,Norm,1Fam,2Story,Gable,CompShg,Plywood,Plywood,BrkFace,TA,TA,PConc,Gd,TA,Av,Rec,Unf,GasA,TA,Y,SBrkr,Fa,Typ,TA,Attchd,Unf,TA,TA,Y,WD ,70.0,11606,5,1969,1969,192.0,1040.0,2080,0.0,1,2,9,2,1969.0,2.0,504.0,335,0,135000
